source_city,target_city,Source,Target,latitude.x,longitude.x,aiportname.x,latitude.y,longitude.y,aiportname.y
Chattanooga_US,Chicago_US,CHA,ORD,35.035301,-85.203796,Lovell Field,41.9786,-87.9048,Chicago O'Hare International Airport
Charlottesville VA_US,Charlotte_US,CHO,CLT,38.138599,-78.452904,Charlottesville Albemarle Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Charlottesville VA_US,Chicago_US,CHO,ORD,38.138599,-78.452904,Charlottesville Albemarle Airport,41.9786,-87.9048,Chicago O'Hare International Airport
Charlottesville VA_US,Philadelphia_US,CHO,PHL,38.138599,-78.452904,Charlottesville Albemarle Airport,39.871899,-75.241096,Philadelphia International Airport
Charleston_US,Charlotte_US,CHS,CLT,32.898602,-80.040497,Charleston Air Force Base-International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Charleston_US,Washington_US,CHS,DCA,32.898602,-80.040497,Charleston Air Force Base-International Airport,38.8521,-77.037697,Ronald Reagan Washington National Airport
Charleston_US,Dallas-Fort Worth_US,CHS,DFW,32.898602,-80.040497,Charleston Air Force Base-International Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
Charleston_US,Miami_US,CHS,MIA,32.898602,-80.040497,Charleston Air Force Base-International Airport,25.7932,-80.290604,Miami International Airport
Charleston_US,Philadelphia_US,CHS,PHL,32.898602,-80.040497,Charleston Air Force Base-International Airport,39.871899,-75.241096,Philadelphia International Airport
Cedar Rapids_US,Dallas-Fort Worth_US,CID,DFW,41.884701,-91.7108,The Eastern Iowa Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
Cleveland_US,Miami_US,CLE,MIA,41.411701,-81.8498,Cleveland Hopkins International Airport,25.7932,-80.290604,Miami International Airport
Cleveland_US,Philadelphia_US,CLE,PHL,41.411701,-81.8498,Cleveland Hopkins International Airport,39.871899,-75.241096,Philadelphia International Airport
Charlotte_US,Columbus_US,CLT,CMH,35.214001,-80.9431,Charlotte Douglas International Airport,39.998001,-82.891899,John Glenn Columbus International Airport
Charlotte_US,Cancun_Mexico,CLT,CUN,35.214001,-80.9431,Charlotte Douglas International Airport,21.036501,-86.877098,Cancún International Airport
Charlotte_US,Cozumel_Mexico,CLT,CZM,35.214001,-80.9431,Charlotte Douglas International Airport,20.5224,-86.925598,Cozumel International Airport
Charlotte_US,Dayton_US,CLT,DAY,35.214001,-80.9431,Charlotte Douglas International Airport,39.902401,-84.219398,James M Cox Dayton International Airport
